subject_lemma,verb_lemma,object_lemma
scientist,can,they
official,have,efficacy
mudslide,strike,area
wildfire,damage,home
PROPN,have,relation
death,be,he
move,have,giant
kitchen,serve,jewish
PROPN,occupy,story
PROPN,have,involvement
PROPN,hide,detail
redknee,provide,solution
resolution,would,report
lawyer,call,settlement
PROPN,have,history
company,would,profit
rescuer,pull,survivor
school,close,opening
school,delay,opening
program,have,attack
name,include,figure
jet,make,overflight
team,be,datum
investigator,help,one
t,expect,negative
PROPN,end,27
PROPN,have,27
PROPN,would,that
PROPN,suspend,injection
t,need,change
t,find,ourselves
PROPN,have,yard
figure,do,cost
one,enable,he
crowd,boo,PROPN
PROPN,call,what
member,can,this
t,cause,problem
t,kill,whale
t,ruin,process
PROPN,be,criticism
PROPN,have,he
team,look,circumstance
team,investigate,circumstance
PROPN,have,opponent
friend,persuade,she
country,to,representative
PROPN,tell,PROPN
PROPN,wear,opponent
fighting,take,place
PROPN,have,hybrid
PROPN,associate,billion
man,sign,will
size,may,will
army,have,million
pilot,ignore,request
police,detain,man
airport,need,runway
injection,cut,number
effect,last,number
PROPN,advise,parent
agreement,will,exchange
confirmation,prove,polarizing
PROPN,have,PROPN
PROPN,minnow,PROPN
school,will,impact
patient,undergo,evaluation
PROPN,injure,ankle
t,make,cut
PROPN,having,plenty
news,send,share
gas,hit,peak
information,lead,they
officer,allege,suspect
PROPN,to,way
berliner,would,move
PROPN,have,damage
PROPN,receive,approval
PROPN,have,chance
team,fan,cab
member,attempt,trip
team,board,cab
PROPN,hand,phone
homeowner,weather,turmoil
gunfight,highlight,source
PROPN,analyze,that
agency,could,job
firefighter,have,difficulty
PROPN,have,calendar
PROPN,have,belief
effort,have,tension
PROPN,be,that
woman,have,child
t,have,pun
PROPN,regard,strip
glitch,have,number
thousand,line,road
chairlift,monopolize,transport
people,pack,bar
access,require,hour
authority,have,road
government,refuse,permission
company,own,string
manpower,survey,employer
tenant,can,share
PROPN,cooperate,that
father,have,business
t,do,that
revamp,have,move
revamp,keep,everything
total,escape,blaze
people,petition,court
PROPN,attend,church
player,will,chess
t,understand,game
spokesman,decline,comment
e,include,link
produce,grow,material
soldier,have,embassy
wisdom,will,it
friend,call,what
access,mean,that
t,glean,evidence
model,would,more
weight,lift,shoulder
objection,should,administration
board,tell,shareholder
PROPN,go,break
PROPN,gain,break
PROPN,have,line
PROPN,offer,nutrient
PROPN,repeat,need
government,to,lead
PROPN,have,culture
family,celebrate,birthday
fate,take,turn
aide,call,what
soldier,seize,radio
PROPN,take,lot
population,should,one
population,make,one
hopeful,do,debate
PROPN,raise,total
plan,could,nudge
indicator,lift,sentiment
son,inform,PROPN
PROPN,tell,television
meeting,to,instability
people,see,they
widow,have,lawsuit
parent,fluff,pillow
parent,rub,body
PROPN,clear,hurdle
action,can,impact
pain,have,point
PROPN,be,he
excellence,may,soul
chaos,rule,gut
woman,identify,herself
PROPN,set,mark
PROPN,to,test
PROPN,field,army
PROPN,score,14
PROPN,be,money
PROPN,can,concern
line,aren,way
man,see,campaign
PROPN,add,goal
PROPN,end,hope
people,close,door
people,throw,thing
wife,have,twenty
PROPN,want,democracy
PROPN,hold,election
company,interrogate,worker
company,intimidate,worker
company,terminate,worker
talk,have,impact
people,serve,sentence
matter,push,execution
people,see,I
aberration,will,repercussion
PROPN,isn,anything
PROPN,be,inquiry
bidder,be,proposal
consortium,win,auction
zuma,have,investor
PROPN,join,company
PROPN,promote,adoption
target,be,sea
PROPN,accumulate,reserve
PROPN,encourage,patient
goal,prove,relief
PROPN,need,deal
PROPN,take,part
PROPN,have,race
PROPN,lose,mind
school,ban,kiss
deficit,have,question
PROPN,shelve,program
PROPN,be,measure
funk,tell,PROPN
church,be,that
timing,could,trouble
teacher,regard,test
leadership,may,much
credit,could,impact
tower,handle,plane
number,oppose,that
tribe,take,airport
PROPN,have,sign
activation,should,minute
company,ask,employee
third,have,overdraft
announcement,shed,light
PROPN,have,uncertainty
state,have,poultry
PROPN,can,label
merchant,get,injection
customer,pay,they
customer,never,they
t,have,reader
PROPN,tell,PROPN
religion,be,oversight
bishop,do,belief
time,have,side
PROPN,embrace,victory
militant,can,public
minister,intend,what
PROPN,blame,fall
ship,be,weapon
inmate,to,someone
town,receive,loan
PROPN,submit,offer
PROPN,have,accusation
team,have,delay
wrangle,have,issue
business,have,employee
business,generate,revenue
decision,prompt,protest
PROPN,would,choice
survey,have,margin
PROPN,be,effort
partner,recognize,teacher
partner,reward,teacher
funeral,will,place
PROPN,be,range
PROPN,score,goal
PROPN,take,effort
supplier,be,suit
PROPN,will,incompetence
PROPN,lead,PROPN
police,can,arrest
police,enter,home
police,seize,evidence
police,hold,suspect
sale,would,commission
PROPN,would,penny
PROPN,condition,truce
group,have,backing
pilot,have,training
tour,would,what
respondent,choose,mainframe
PROPN,serve,ace
PROPN,get,I
magistrate,let,he
militant,make,way
PROPN,win,control
PROPN,stab,guy
bill,pass,PROPN
PROPN,have,leaflet
PROPN,tell,PROPN
PROPN,have,what
PROPN,do,defeat
PROPN,stab,PROPN
town,be,shutdown
grey,feel,version
guy,have,delusion
PROPN,should,effort
PROPN,be,you
response,would,scandal
speculator,would,share
court,apply,rule
PROPN,sail,backhand
company,warn,round
leadership,include,PROPN
number,have,value
PROPN,have,move
PROPN,fire,ace
family,build,wealth
parent,spend,everything
PROPN,have,high
t,wouldn,much
PROPN,view,fight
PROPN,be,debut
hook,have,subject
PROPN,spoil,it
credit,include,film
PROPN,will,PROPN
general,have,power
general,violate,constitution
PROPN,lead,fightback
PROPN,take,tourist
condition,warrant,it
PROPN,go,16
PROPN,score,16
t,mention,he
PROPN,revive,which
depression,have,impact
PROPN,be,PROPN
PROPN,win,award
firefighter,fortify,line
flame,torch,redwood
PROPN,capture,hundred
scoring,put,PROPN
PROPN,keep,they
participant,dial,conference
participant,enter,conference
ship,have,line
PROPN,have,group
PROPN,make,half
engineer,have,plan
official,believe,way
PROPN,do,state
aftershock,rattle,region
mother,join,PROPN
medium,do,job
PROPN,have,assist
PROPN,limn,they
program,signal,era
firm,order,year
release,contain,statement
PROPN,may,target
committee,be,handling
school,should,cutback
PROPN,use,reliever
student,run,he
student,quiz,he
election,would,problem
mps,could,role
family,spend,day
incident,might,opportunity
PROPN,to,image
operator,should,fare
operation,require,assistant
Police,have,detail
battalion,spend,life
PROPN,send,troop
start,leave,teenager
soldier,smash,barracks
office,deliver,draft
teacher,have,mistake
member,be,effect
moratorium,could,that
PROPN,ask,he
PROPN,commit,troop
PROPN,tie,it
murder,will,doctor
hostility,be,attention
hostility,need,attention
organisation,continue,which
PROPN,operate,facility
t,read,it
movement,catch,need
people,feel,need
attack,kill,people
attack,wound,civilian
PROPN,have,pedigree
sentence,exceed,27-
prosecutor,recommend,27-
t,take,effect
parliament,affirm,independence
parliament,shed,image
price,have,toll
pensioner,have,total
painting,capture,grace
analyst,have,that
researcher,place,mouse
people,act,urge
empire,might,squillion
PROPN,restrict,advertising
parent,beat,expectation
sale,rise,decline
announcement,follow,decision
PROPN,must,effort
homeowner,take,check
woman,enjoy,right
developer,have,one
leader,give,that
chaos,descend,dessert
composer,have,trouble
PROPN,cite,resistance
PROPN,could,loss
t,celebrate,that
PROPN,sign,that
authority,release,PROPN
activity,will,expenditure
PROPN,have,qualm
PROPN,complete,pass
deal,mark,end
PROPN,have,history
PROPN,have,condolence
syndrome,have,aspen
researcher,suggest,warm
grant,would,array
t,get,PROPN
PROPN,take,lead
discovery,would,clue
club,have,visit
PROPN,express,opinion
wife,give,birth
t,do,any
device,have,acceleration
snacker,consume,calorie
storm,have,tree
authority,have,aircraft
morning,bring,what
turnout,could,doubt
PROPN,gain,4.5
PROPN,collide,field
PROPN,could,field
PROPN,leave,field
PROPN,be,lawyer
none,can,what
year,have,soil
PROPN,dismiss,case
PROPN,have,lot
PROPN,to,percent
PROPN,score,point
PROPN,limit,PROPN
failure,have,challenge
property,might,70
people,stop,back
people,touch,back
PROPN,start,operation
candidate,disbelieve,theory
improvement,reflect,benefit
school,may,computer
builder,use,that
majority,take,heed
institution,hold,which
organization,have,home
music,would,soundtrack
result,include,part
origin,predate,independence
PROPN,drywaller4u,PROPN
council,have,submission
letter,give,detail
gamble,provide,foundation
government,have,death
group,praise,scheme
PROPN,have,that
PROPN,disown,drive
dollar,have,export
PROPN,have,purchase
dollar,have,which
student,be,loan
t,have,jurisdiction
daughter,would,puppy
disposal,will,professionalism
PROPN,threaten,PROPN
PROPN,take,action
problem,will,market
people,could,29
prosecutor,accuse,he
star,vent,frustration
PROPN,write,book
candidate,to,station
candidate,receive,%
belief,use,acceptance
taxis,will,deficit
guard,strap,he
leave,take,measurement
human,generate,that
PROPN,defeat,PROPN
manager,call,he
cameraman,find,poolside
incursion,prompt,charge
PROPN,be,atmosphere
PROPN,may,feat
PROPN,mark,time
journalist,visit,family
journalist,share,meal
PROPN,suffer,injury
president,make,visit
owner,be,reward
PROPN,declare,day
PROPN,sing,melody
program,record,it
program,tweak,pitch
PROPN,play,role
ministry,handle,relation
goal,come,romp
lawmaker,express,misgiving
series,have,PROPN
lawmaker,elect,whom
PROPN,have,advice
PROPN,have,saving
government,guarantee,loan
government,collect,payment
job,may,stretch
nation,may,stretch
acquisition,demonstrate,scope
war,have,earth
conservative,be,procedure
PROPN,tell,PROPN
school,have,thing
specter,cause,successor
animal,aren,t
country,have,force
PROPN,top,list
club,do,part
player,to,pin
head,urge,PROPN
league,have,exuberance
ruling,set,flurry
townspeople,trade,news
network,have,hour
critic,make,visit
swing,play,role
change,would,place
group,would,bias
group,would,bias
spear,have,mistake
moviegoer,be,slack
PROPN,will,charge
PROPN,have,dependency
hotel,boast,room
economy,want,reorganization
sample,match,PROPN
nominee,be,vote
fish,eat,plankton
impasse,put,PROPN
government,have,money
victory,follow,finish
PROPN,settle,victory
scene,show,anti
team,keep,chance
PROPN,seize,control
opponent,to,match
people,mend,gadget
people,build,own
court,have,nature
PROPN,investigate,crime
PROPN,represent,force
PROPN,should,people
organization,to,need
PROPN,join,PROPN
PROPN,have,measure
PROPN,have,11
officer,tell,court
PROPN,violate,law
scientist,say,influenza
plaintiff,do,evidence
PROPN,be,term
decision,follow,call
PROPN,have,scratch
Police,ask,anyone
PROPN,do,what
PROPN,extend,streak
teenager,deserve,chance
user,delete,it
PROPN,have,rate
PROPN,have,lead
father,become,school
mother,open,school
base,have,lot
rescuer,join,operation
police,hold,photo
police,name,she
pride,could,little
inspector,find,violation
PROPN,would,which
wag,do,lack
PROPN,shoot,of-23
PROPN,come,impact
winger,have,impact
court,reverse,itself
complaint,equal,conduct
loyalist,win,seat
girl,will,it
PROPN,score,rebound
PROPN,play,PROPN
anther,make,backdrop
PROPN,volunteer,detail
number,hit,bottom
PROPN,get,goal
committee,recommend,establishment
PROPN,say,neuron
PROPN,play,part
leader,come,picketer
leader,tell,picketer
PROPN,tell,PROPN
penny,have,opportunity
PROPN,be,opportunity
skier,have,five
homeowner,avoid,foreclosure
PROPN,get,title
parent,to,child
love,have,point
love,grab,rebound
love,win,ninth
father,have,variety
t,put,it
stock,trim,loss
investor,have,offer
mule,walk,nut
woman,sit,nut
mule,sell,nut
girl,may,thing
PROPN,may,she
PROPN,have,some
PROPN,stand,agenda
PROPN,acknowledge,agenda
ill,get,gain
thug,will,you
t,have,fear
surge,mask,number
viewer,wouldn,cheerleader
company,face,deadline
regulator,have,job
tourist,would,bribe
team,drive,mile
PROPN,bring,profile
PROPN,lead,PROPN
Police,estimate,number
volunteer,have,roof
PROPN,have,raise
t,get,sleep
PROPN,feel,whom
t,tell,you
hut,offer,comfort
PROPN,have,PROPN
device,use,sensor
item,require,replacement
beach,need,replenishment
People,be,day
people,have,link
attack,target,housing
PROPN,note,interest
respondent,should,message
event,will,place
forecast,show,order
step,represent,effort
chuckle,fool,nobody
authority,have,commitment
PROPN,throw,gauntlet
didn,stop,show
PROPN,receive,update
PROPN,add,double
farmer,have,patch
PROPN,will,reader
epidemiologist,would,that
PROPN,try,they
PROPN,sell,they
coalition,would,action
PROPN,lament,decision
conservative,build,creed
version,have,gene
century,herald,approach
PROPN,hold,interview
t,need,someone
legislation,will,power
child,doesn,t
citizen,band,ourselves
citizen,support,ourselves
PROPN,add,round
PROPN,award,round
PROPN,lose,play
PROPN,have,blood
science,can,impact
PROPN,leap,I
PROPN,bite,I
likeness,join,that
mother,drug,child
mother,suffocate,child
t,don,he
kid,kill,father
kid,run,father
kid,fight,father
kid,lose,virginity
PROPN,tell,I
PROPN,regard,which
territory,await,reunification
offender,face,time
tycoon,never,economy
state,have,grip
PROPN,win,right
city,be,it
PROPN,never,play
PROPN,give,play
arrest,follow,report
PROPN,cite,exposure
insurer,take,charge
PROPN,match,career
PROPN,should,good
PROPN,chastise,they
PROPN,encourage,promotion
team,include,member
PROPN,will,that
PROPN,control,PROPN
PROPN,have,rig
designer,exhibit,work
designer,study,work
PROPN,be,PROPN
PROPN,describe,PROPN
effort,will,revolution
arrest,provoke,suspicion
movement,kill,PROPN
t,engage,she
secret,be,nothing
PROPN,have,target
PROPN,have,representation
military,do,those
spokesman,say,those
people,judge,quality
plackemeier,have,season
community,make,vessel
PROPN,sign,that
PROPN,could,all
thundershower,drown,remark
couple,be,question
deputy,discontinue,chase
driver,continue,people
PROPN,chair,session
enemy,to,relationship
scheme,set,incidental
plunge,highlight,danger
PROPN,have,appetite
rival,detect,market
consumer,may,stability
force,be,development
economy,enter,recession
bill,run,gamut
PROPN,approve,that
presence,could,trial
shopper,spot,body
politician,cancel,plan
PROPN,idolize,father
director,commission,which
country,maintain,tie
queen,could,credit
PROPN,make,401
PROPN,hit,145
PROPN,call,player
man,make,journey
opening,will,production
group,have,foundation
PROPN,have,it
arena,provide,university
investor,hedge,risk
PROPN,box,fight
PROPN,court,danger
PROPN,respond,fight
PROPN,distance,himself
arrangement,support,collaboration
premium,sell,corn
flood,have,people
forecaster,say,people
fan,to,progress
PROPN,do,you
PROPN,call,what
bill,reflect,impatience
preparation,begin,buyer
ally,be,PROPN
investigation,show,link
PROPN,have,lawyer
PROPN,categorize,withdrawal
burglar,steal,barrel
PROPN,have,appeal
PROPN,report,loss
PROPN,average,3.88
attempt,fail,election
PROPN,make,statement
retailer,have,consumer
mistress,have,PROPN
mistress,seek,return
PROPN,pay,tribute
PROPN,do,voter
bird,may,egg
club,hire,bouncer
glimpse,prompt,squeal
PROPN,heal,rift
PROPN,have,attention
drop,push,gold
clearance,find,PROPN
mother,tell,dispatcher
candidate,would,voter
rival,skip,event
company,capture,revenue
PROPN,have,asylum
PROPN,be,asylum
bailout,may,economy
voter,remain,economy
PROPN,to,something
protester,fight,police
supporter,carry,sign
plane,have,technology
union,reject,request
patient,exhibit,sign
PROPN,study,sediment
rebel,begin,uprising
player,have,way
PROPN,have,lawsuit
administration,could,gear
PROPN,have,order
marathon,be,morning
report,say,speech
report,will,version
group,be,campaign
brush,touch,canvas
broyle,miss,game
investor,sell,dollar
jury,to,conclusion
trust,threaten,businessman
lawsuit,shelve,he
lawsuit,accuse,he
evening,contain,sprinkling
hundred,storm,terminal
PROPN,execute,%
identification,have,place
mother,inform,she
number,accept,assessment
reference,have,dash
preparation,have,million
preparation,have,road
entry,include,answer
PROPN,would,rate
PROPN,withdraw,supply
optimism,have,index
PROPN,to,role
PROPN,tell,reporter
bank,hand,yuan
line,have,cup
campaign,must,donor
PROPN,might,ratio
PROPN,make,request
company,to,technology
executive,issue,warning
investor,not,warning
executive,increase,bid
lunch,consist,apple
PROPN,win,three
carriageway,be,delay
immigrant,have,something
proposal,could,people
journalist,have,lunch
journalist,ask,he
PROPN,win,election
work,have,resonance
work,include,novel
PROPN,meet,she
day,send,letter
PROPN,overwhelm,PROPN
PROPN,´,s
PROPN,put,game
PROPN,finish,for-28
PROPN,lend,PROPN
other,invest,hope
defendant,stamp,head
defendant,kick,head
member,will,legislation
PROPN,be,revenge
neighbor,support,view
order,shut,site
word,fail,I
group,would,euro
PROPN,might,mean
PROPN,have,PROPN
troop,occupy,much
troop,set,administration
father,have,provision
PROPN,give,worm
PROPN,bring,wealth
barrier,would,water
resolution,do,goal
user,can,result
monk,would,calling
manufacturer,have,extra
manufacturer,to,transport
term,mean,consultation
PROPN,liken,township
reader,vote,PROPN
PROPN,earn,2
PROPN,tell,PROPN
PROPN,play,PROPN
player,would,that
government,have,dialogue
reference,mean,medication
botanist,would,flora
wildfire,kill,firefighter
wildfire,turn,hill
deal,would,control
coroner,record,verdict
PROPN,bring,résumé
woman,have,risk
PROPN,deny,claim
thousand,line,street
PROPN,describe,portrait
PROPN,control,percent
PROPN,control,rest
PROPN,will,PROPN
other,see,motivation
ship,be,sailor
PROPN,think,what
people,do,influence
president,have,tenure
PROPN,win,screenplay
PROPN,tighten,wallet
PROPN,can,example
PROPN,coach,PROPN
bullet,enter,body
police,search,home
PROPN,have,player
PROPN,have,PROPN
nation,draw,attention
worker,handle,task
PROPN,join,organization
applicant,include,person
PROPN,do,responsibility
PROPN,attract,crowd
sector,shed,job
improvement,read,defense
timing,make,phasing
PROPN,run,that
bombing,carry,echo
PROPN,have,right
decision,should,call
project,anger,PROPN
operation,employ,people
center,will,event
host,would,114
party,to,development
party,eliminate,cost
party,realize,economy
pointer,put,PROPN
PROPN,tell,detective
item,would,boost
party,to,candidate
violence,have,PROPN
PROPN,could,pad
PROPN,bowl,pad
PROPN,have,subsidiary
attacker,drag,PROPN
PROPN,tell,PROPN
PROPN,scratch,note
juror,deliver,verdict
growth,serve,notice
company,can,that
future,plague,investor
people,want,nutrient
refugee,offer,they
alliance,sell,ticket
t,suffer,fool
daughter,put,something
campaign,succeed,more
PROPN,to,role
accusation,have,potential
PROPN,hire,PROPN
authority,will,respect
authority,not,emotion
PROPN,parry,shot
party,have,interest
PROPN,develop,profile
team,aren,t
user,can,advantage
approach,will,line
PROPN,have,delivery
producer,be,herd
PROPN,close,season
director,cancel,program
director,notify,PROPN
investor,can,trade
negotiation,settle,issue
industry,realise,it
PROPN,wear,mask
PROPN,have,it
PROPN,trade,PROPN
PROPN,work,he
PROPN,regard,he
will,to,it
anger,ask,question
offensive,not,catastrophe
operator,do,license
body,appear,spell
PROPN,to,"918,000"
investor,can,price
t,tell,you
pass,let,spell
mps,have,claim
mps,repay,claim
PROPN,pass,resolution
coffee,contain,calorie
PROPN,have,responsibility
Police,have,security
trooper,get,passkey
people,have,it
people,will,it
result,have,margin
group,free,whom
lane,have,people
drinker,can,conversation
son,have,fibrosis
step,should,assurance
t,return,response
number,draw,response
army,could,that
PROPN,do,profit
life,take,turn
skit,show,age
interviewer,to,homework
interviewer,know,more
PROPN,question,PROPN
PROPN,suggest,perception
PROPN,sell,that
outlet,use,opportunity
article,contain,word
fatality,have,quarter
report,give,answer
crime,leave,community
PROPN,strengthen,penalty
pig,have,lean
batch,send,letter
PROPN,reiterate,demand
PROPN,mean,hundred
PROPN,bring,coach
trauma,play,role
number,give,average
insurgent,have,helicopter
PROPN,travel,hour
PROPN,summon,PROPN
PROPN,see,increase
subscriber,be,benefit
medium,have,what
broadcaster,should,amount
PROPN,have,document
PROPN,thump,kick
team,find,spot
drama,win,film
PROPN,obtain,three
People,should,food
People,practice,technique
president,announce,subsidy
force,be,PROPN
t,wanna,time
church,draw,attention
government,spend,more
footage,show,vehicle
PROPN,run,software
firefighter,prevent,fire
enclave,will,state
PROPN,have,agent
investor,to,yield
potter,be,work
PROPN,pass,bill
PROPN,limit,power
PROPN,give,control
gramp,be,set
people,will,lot
PROPN,make,comment
PROPN,press,PROPN
PROPN,provide,student
PROPN,have,stop
PROPN,to,attention
husband,do,what
character,imply,choice
budget,could,university
PROPN,sell,stock
t,tell,investor
PROPN,be,capacity
PROPN,collect,bid
t,start,bid
PROPN,sell,much
quake,jolt,town
PROPN,avoid,inquiry
light,would,year
PROPN,say,it
PROPN,claim,it
result,provide,answer
PROPN,wind,answer
PROPN,step,activity
candidate,have,that
candidate,receive,that
Police,disperse,group
proposal,have,backing
PROPN,recall,surprise
PROPN,not,PROPN
provision,include,measure
PROPN,name,getaway
founder,see,dream
PROPN,have,team
liner,win,election
PROPN,do,much
PROPN,have,joy
reprocessing,take,half
PROPN,would,relation
t,feel,loyalty
PROPN,have,remit
government,have,right
PROPN,could,album
PROPN,make,it
blaze,disfigure,shop
t,destroy,it
PROPN,resume,career
people,be,therapy
demonstration,take,place
PROPN,will,concern
airline,be,refund
case,can,claim
PROPN,have,choice
PROPN,create,fund
PROPN,be,contribution
woman,have,petition
PROPN,to,batsman
PROPN,draw,sketch
PROPN,turn,some
PROPN,will,sale
family,subject,she
clinic,get,money
driver,have,time
driver,have,difficulty
manufacturer,to,product
judge,exclude,public
PROPN,draw,that
female,produce,egg
PROPN,have,program
PROPN,will,access
PROPN,advance,development
alarm,be,they
PROPN,score,point
assistant,refer,300
assistant,will,300
PROPN,roll,PROPN
rewriting,would,education
government,be,assessment
PROPN,use,word
PROPN,record,loss
population,be,recovery
people,be,recovery
son,phone,she
demand,have,purpose
judge,refuse,request
none,raise,objection
violence,claim,life
PROPN,mark,experience
PROPN,have,vote
PROPN,regain,PROPN
PROPN,call,they
PROPN,send,PROPN
authority,may,action
official,defend,preparation
PROPN,will,delegate
PROPN,circulate,proposal
PROPN,marry,PROPN
PROPN,own,reactor
crisis,have,driver
PROPN,have,intention
PROPN,take,lead
PROPN,face,spell
peace,mean,what
bank,will,that
PROPN,break,back
turbulence,might,tone
people,might,plan
event,gain,weight
family,grow,rice
company,have,audit
case,could,image
job,have,weight
job,have,diabetes
machinist,want,401k
bird,gain,confidence
market,lose,ground
leader,have,allegiance
improvement,could,opportunity
PROPN,be,PROPN
people,want,control
PROPN,have,21
PROPN,take,PROPN
PROPN,trail,homer
PROPN,get,homer
scientist,could,fungus
majority,be,gear
house,make,half
PROPN,refuse,request
PROPN,reach,settlement
judge,have,step
side,be,issue
man,have,he
man,tell,he
PROPN,could,camera
PROPN,take,time
decision,reflect,problem
PROPN,immerse,herself
t,think,PROPN
hole,take,year
PROPN,be,religion
member,take,credit
stock,sag,firm
investor,balance,prospect
advance,not,environmentalism
advance,will,planet
PROPN,undergo,surgery
PROPN,escape,inning
call,draw,recrimination
voter,to,work
weather,ground,they
soldier,represent,all
PROPN,unleash,performance
fleet,include,PROPN
group,understand,need
PROPN,to,itself
industry,to,itself
group,owe,duty
wildlife,be,cormorant
church,strip,bare
tomb,have,image
airline,have,time
leak,pose,risk
PROPN,make,comment
PROPN,request,change
triumph,clinch,order
triumph,hoist,he
other,have,declaration
PROPN,wage,war
PROPN,have,house
PROPN,drive,PROPN
status,bring,increase
trader,urge,limit
citizen,have,good
entity,be,bidding
boy,have,way
report,contradict,assertion
review,show,endeavour
people,have,experience
section,would,use
rate,have,influence
occupation,have,determination
PROPN,tell,PROPN
PROPN,dump,project
people,remember,that
leak,would,much
PROPN,say,girl
fund,will,pricetag
response,will,way
PROPN,unveil,proposal
PROPN,accuse,PROPN
plan,would,road
suspect,see,nothing
study,find,woman
project,will,influx
firm,encourage,people
report,raise,warning
premier,urge,PROPN
show,take,place
PROPN,step,battle
customer,to,amount
PROPN,return,starter
investor,put,worry
PROPN,tell,story
lot,do,same
PROPN,have,music
PROPN,be,outing
PROPN,come,run
PROPN,give,run
pointer,beat,PROPN
film,spotlight,part
t,do,it
PROPN,have,routine
PROPN,devalue,window
PROPN,discuss,importance
PROPN,have,apology
mediaroom,offer,functionality
mom,invite,dozen
PROPN,have,blogger
PROPN,will,charge
spokesman,say,violence
PROPN,recognize,PROPN
spokesman,renounce,violence
scientist,have,piece
race,take,place
PROPN,compound,wastefulness
PROPN,build,base
PROPN,find,himself
woman,be,husband
PROPN,run,operation
PROPN,have,thousand
news,await,arrival
rain,knock,power
PROPN,act,PROPN
PROPN,be,PROPN
PROPN,have,profession
shift,must,loss
interrogation,break,law
PROPN,have,dropping
PROPN,have,attorney
acid,erode,surface
PROPN,call,we
leader,reiterate,call
PROPN,cofounde,PROPN
people,understand,importance
PROPN,have,34
PROPN,have,solution
PROPN,should,party
medication,result,enzyme
user,to,intelligence
PROPN,have,billion
PROPN,have,series
work,explore,idea
document,paint,picture
PROPN,do,batter
PROPN,strike,two
opportunity,find,evidence
batsman,have,that
development,have,potential
death,have,nothing
action,constitute,assault
series,will,number
decision,call,ability
gunman,kill,woman
percent,give,they
percent,report,rise
source,verify,account
recession,be,PROPN
PROPN,have,book
service,will,process
customer,to,copy
senator,have,power
ruling,will,pay
battle,will,decade
PROPN,have,quality
relay,have,citizen
PROPN,be,help
company,to,taxis
wife,buy,ticket
store,carry,model
PROPN,struggle,which
accusation,have,career
PROPN,reflect,stance
aircraft,pummel,target
militant,fire,rocket
PROPN,have,churn
PROPN,win,praise
one,be,billion
PROPN,be,step
exposure,could,immunity
facility,will,number
child,receive,ovation
analyst,expect,revenue
phase,include,transition
PROPN,claim,that
PROPN,warn,terrorist
bill,open,corp
PROPN,be,what
lender,work,line
PROPN,to,decision
chairman,will,title
PROPN,gain,2.9
researcher,have,rat
state,offer,sort
PROPN,lose,lead
ceremony,include,tour
ceremony,to,place
PROPN,unveil,database
manufacturer,must,government
side,would,part
fact,have,presence
PROPN,have,hour
PROPN,have,amount
question,take,significance
PROPN,lead,club
PROPN,return,spade
PROPN,ruff,club
sale,reach,unit
soldier,lose,calm
worker,have,leverage
plant,would,capacity
consumption,can,someone
religion,enjoy,tolerance
PROPN,may,chance
program,target,citizen
marriage,drive,he
investor,pare,bet
insurer,have,money
people,besiege,station
youth,throw,egg
PROPN,search,catalog
PROPN,have,claim
supermodel,use,interview
people,say,PROPN
people,buy,drink
PROPN,play,PROPN
PROPN,abandon,it
judge,tell,they
PROPN,will,squad
follower,to,violence
fighting,have,life
fighting,displace,people
medium,lend,itself
organization,be,what
girl,have,place
PROPN,add,that
version,have,rating
remark,reveal,way
minister,be,themselves
project,help,people
handout,cite,precedent
thief,have,opportunity
policy,have,impact
PROPN,turn,finding
detail,will,question
PROPN,have,information
PROPN,do,bunch
PROPN,will,focus
People,look,it
People,color,it
voter,do,invitation
conflict,have,agent
bank,loan,money
PROPN,have,ability
expansion,may,shape
national,hold,hostage
PROPN,describe,contribution
step,would,contractor
freshness,t,key
PROPN,describe,model
PROPN,be,pressure
speed,could,that
PROPN,keep,himself
bus,make,noise
crying,be,game
PROPN,raise,concern
school,hold,assembly
PROPN,watch,broadcast
t,require,everyone
agency,be,militant
index,lose,39.95
PROPN,drop,47.69
PROPN,sack,replacement
PROPN,make,bid
frustration,may,chord
debut,reflect,interest
PROPN,give,account
PROPN,move,spot
game,take,approach
ban,be,opposition
PROPN,be,net
union,would,they
PROPN,to,PROPN
euro,have,that
borrower,pay,3.98
t,say,anything
pm,urge,PROPN
PROPN,have,openness
PROPN,dump,he
scissor,have,design
aquascaper,trim,moss
thousand,pack,bleacher
decision,end,distinction
decision,help,she
employer,to,job
flight,take,hour
PROPN,seize,control
PROPN,keep,hope
PROPN,shrug,many
market,be,likelihood
PROPN,have,year
aftershock,shake,lake
aftershock,send,landslide
grizzly,have,hole
state,take,turn
attack,invalidate,commitment
PROPN,will,other
venue,include,PROPN
child,make,most
teenager,have,list
cleric,imagine,it
lender,produce,paperwork
logging,could,tribe
proposal,meet,resistance
police,subdue,he
regulator,be,concern
regulator,will,concern
firefighter,spend,hour
passage,spare,PROPN
PROPN,tell,PROPN
child,have,contact
resident,have,week
repositioning,echo,shift
agency,put,control
PROPN,have,PROPN
PROPN,tell,reporter
player,tap,screen
t,call,I
PROPN,should,document
PROPN,have,chance
case,contain,pizza
t,want,suffer
minister,have,attention
bank,would,%
PROPN,announce,addition
group,use,fund
decision,will,any
conflict,have,people
PROPN,take,lead
PROPN,advise,he
PROPN,play,role
people,to,summer
PROPN,beat,PROPN
PROPN,will,production
